Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
45;64;263;1%
45;6;170;1%
46;82;92027;19%
46;56;71467;14%
46;60;63404;13%
46;12;41421;8%
46;70;31424;6%
46;51;25966;5%
46;35;25885;5%
46;25;25360;5%
46;11;20894;4%
46;34;20668;4%
46;65;18297;4%
46;45;17269;3%
46;13;16061;3%
46;36;13111;3%
46;81;13059;3%
46;64;12666;3%
46;78;12324;2%
46;10;5669;1%
46;69;4196;1%
46;75;3023;1%
46;3;1740;0%
46;6;1554;0%
47;56;68131;14%
47;82;65386;14%
47;12;58479;12%
47;45;48234;10%
47;13;46402;10%
47;35;36500;8%
47;60;30463;6%
47;70;30159;6%
47;34;25589;5%
47;11;20987;4%
47;51;17350;4%
47;65;13924;3%
47;36;13723;3%
47;78;13275;3%
47;25;12078;3%
47;81;9787;2%
47;64;6761;1%
47;3;5991;1%
47;75;3662;1%
47;10;3230;1%
47;69;2564;1%
47;6;537;0%
48;82;12052;16%
48;6;8053;11%
48;70;7562;10%
48;12;7484;10%
48;56;7083;10%
48;35;5162;7%
48;25;4154;6%
48;11;3992;5%
48;13;3330;5%
48;34;3243;4%
48;60;2879;4%
48;78;2629;4%
48;51;2559;3%
48;36;2140;3%
48;10;1851;3%
48;65;1837;3%
48;45;1578;2%
48;81;1555;2%
48;64;720;1%
48;75;456;1%
48;69;329;0%
48;3;310;0%
49;12;57218;18%
49;56;38501;12%
49;82;35012;11%
49;13;34020;11%
49;70;27011;9%
49;51;23935;8%
49;25;23197;7%
49;34;18443;6%
49;35;18150;6%
49;60;13480;4%
49;11;13198;4%
49;45;10350;3%
49;64;9731;3%
49;36;9186;3%
49;65;7768;2%
49;78;7501;2%
49;81;6920;2%
49;10;4590;1%
49;3;4154;1%
49;69;2982;1%
49;75;2477;1%
49;6;1503;0%
50;6;6990;19%
50;82;6388;17%
50;56;3993;11%
50;36;2877;8%
50;12;2301;6%
50;11;2282;6%
50;35;2244;6%
50;25;1855;5%
50;70;1698;5%
50;34;1668;4%
50;78;1321;4%
50;51;1171;3%
50;60;1104;3%
50;10;920;2%
50;81;665;2%
50;45;593;2%
50;65;550;1%
50;13;445;1%
50;3;425;1%
50;75;252;1%
50;64;113;0%
50;69;87;0%
